Species	C2	C3	Y1	Y2	Y3
Altererythrobacter_ishigakiensis	1	1	0	0	0
Ammonifex_degensii	0	0	0	2	0
Amycolatopsis_albispora	0	0	0	2	0
Amycolatopsis_carbonis	2	0	0	0	0
Amycolatopsis_sp._FBCC-B4732	0	0	1	1	0
Amycolatopsis_sp._FDAARGOS_1241	0	1	1	0	0
Anaerococcus_prevotii	0	0	0	2	0
Anaerococcus_sp._WGS1596	0	0	0	0	2
Aneurinibacillus_sp._Ricciae_BoGa-3	2	0	0	0	0
Angustibacter_sp._McL0619	1	0	0	1	0
Anseongella_ginsenosidimutans	1	0	0	1	0
Antarcticibacterium_sp._1MA-6-2	0	1	0	1	0
Anthocerotibacter_panamensis	0	0	1	1	0
Antiquaquibacter_oligotrophicus	2	0	0	0	0
Aquabacter_sp._L1I39	2	0	0	0	0
Aquabacterium_sp._J223	1	1	0	0	0
Aquibium_oceanicum	2	0	0	0	0
Aquimarina_sp._AD1	2	0	0	0	0
Aquisalimonas_sp._2447	2	0	0	0	0
Aquisediminimonas_profunda	0	2	0	0	0
Aquitalea_aquatilis	1	1	0	0	0
Archangium_gephyra	0	1	0	1	0
Arcobacter_aquimarinus	1	0	0	0	1
Arthrobacter_nitrophenolicus	0	0	0	2	0
Arthrobacter_sp._A5	1	1	0	0	0
Arthrobacter_sp._FB24	2	0	0	0	0
Arthrobacter_sp._G.S.26	0	0	0	2	0
Arthrobacter_sp._Helios	0	0	0	2	0
Arthrobacter_sp._KBS0702	1	0	1	0	0
Arthrobacter_sp._NEB_688	2	0	0	0	0
Arthrobacter_sp._NicSoilB8	0	0	0	2	0
Arthrobacter_sp._StoSoilB22	1	0	0	1	0
Arthrobacter_sp._StoSoilB5	0	2	0	0	0
Arthrobacter_sp._zg-Y20	0	0	0	1	1
Arthrobacter_sunyaminii	0	0	0	0	2
Aspergillus_nidulans	2	0	0	0	0
Asticcacaulis_sp._ZE23SCel15	2	0	0	0	0
Aurantiacibacter_gangjinensis	1	1	0	0	0
Aurantimicrobium_photophilum	1	0	0	1	0
Auraticoccus_monumenti	0	2	0	0	0
Aureimonas_altamirensis	0	2	0	0	0
Aureimonas_sp._AU20	1	1	0	0	0
Azoarcus_olearius	0	0	0	2	0
Azoarcus_sp._KH32C	0	0	2	0	0
Azospira_restricta	0	1	0	1	0
Azospira_sp._I09	2	0	0	0	0
Azospirillum_sp._A29	2	0	0	0	0
Azospirillum_sp._HJ39	0	2	0	0	0
Azospirillum_sp._TSH100	2	0	0	0	0
Azospirillum_sp._TSH58	1	0	1	0	0
Babesia_bigemina	0	1	0	1	0
Babesia_microti	0	0	0	0	2
Bacillus_altitudinis	0	0	2	0	0
Bacillus_cabrialesii	0	0	0	0	2
Bacillus_maqinnsis	0	0	0	2	0
Bacillus_shivajii	0	0	2	0	0
Bacillus_sp._FSL_M8-0277	1	0	0	1	0
Bacillus_sp._FSL_R5-0422	2	0	0	0	0
Bacillus_sp._JAS24-2	0	2	0	0	0
Bacillus_sp._SCS-153A	0	0	1	1	0
Bacillus_sp._ms-22	0	0	0	2	0
Bacillus_swezeyi	0	1	0	1	0
Bacillus_tequilensis	0	0	0	0	2
Bifidobacterium_crudilactis	0	0	0	0	2
Bifidobacterium_sp._ESL0798	0	0	2	0	0
Blastochloris_tepida	2	0	0	0	0
Blastomonas_marina	0	0	0	2	0
Blattabacterium_sp._(Blattella_germanica)	0	0	0	0	2
Bordetella_bronchialis	1	1	0	0	0
Bordetella_genomosp._9	2	0	0	0	0
Bosea_vestrisii	0	0	0	2	0
Brachybacterium_kimchii	1	1	0	0	0
Bradyrhizobium_centrosematis	0	0	0	0	2
Bradyrhizobium_diazoefficiens	0	2	0	0	0
Bradyrhizobium_erythrophlei	2	0	0	0	0
Bradyrhizobium_guangdongense	0	0	0	2	0
Bradyrhizobium_ontarionense	1	1	0	0	0
Bradyrhizobium_sediminis	1	0	1	0	0
Bradyrhizobium_sp._Ash2021	1	1	0	0	0
Bradyrhizobium_sp._B097	1	0	0	1	0
Bradyrhizobium_sp._CB82	0	2	0	0	0
Bradyrhizobium_sp._WD16	1	1	0	0	0
Bradyrhizobium_symbiodeficiens	1	0	0	1	0
Breoghania_sp.	0	2	0	0	0
Brevibacillus_borstelensis	0	0	0	2	0
Brevibacillus_choshinensis	0	1	1	0	0
Brevibacterium_linens	0	1	1	0	0
Brevibacterium_oceani	0	0	2	0	0
Brevibacterium_sp._GP-SGM9	1	1	0	0	0
Brevibacterium_sp._SMBL_HHYL_HB1	0	2	0	0	0
Brevundimonas_bullata	0	0	0	2	0
Brevundimonas_olei	2	0	0	0	0
Brevundimonas_sp._BH3	0	0	0	0	2
Brevundimonas_sp._LM2	1	1	0	0	0
Brevundimonas_vitisensis	2	0	0	0	0
Brucella_melitensis	0	0	2	0	0
Burkholderia_cepacia	0	2	0	0	0
Burkholderia_glumae	0	0	2	0	0
Burkholderia_sp._FERM_BP-3421	0	2	0	0	0
Burkholderia_territorii	0	0	0	0	2
Caballeronia_grimmiae	1	0	0	1	0
Caballeronia_sp._S22	0	0	0	0	2
Caldicellulosiruptor_hydrothermalis	0	0	0	2	0
Caldicellulosiruptor_kronotskyensis	0	0	0	2	0
Caldicellulosiruptor_obsidiansis	0	2	0	0	0
Caminicella_sporogenes	0	0	0	2	0
Campylobacter_helveticus	2	0	0	0	0
Campylobacter_lari	1	0	0	1	0
Candidatus_Azobacteroides_pseudotrichonymphae	1	0	1	0	0
Candidatus_Babela_massiliensis	0	0	1	0	1
Candidatus_Bipolaricaulis_anaerobius	2	0	0	0	0
Candidatus_Electrothrix_sp._GW3-4	0	0	0	2	0
Candidatus_Enterococcus_mangumiae	1	0	0	0	1
Candidatus_Korobacter_versatilis	0	0	0	0	2
Candidatus_Nanosynbacter_featherlites	0	0	1	1	0
Candidatus_Nanosynbacter_sp._TM7-074	0	0	0	0	2
Candidatus_Palauibacter_sp.	1	0	0	1	0
Candidatus_Pelagibacter_bacterium_nBUS_28	2	0	0	0	0
Candidatus_Pelagibacter_bacterium_nBUS_49	2	0	0	0	0
Candidatus_Pelagibacter_sp._Uisw_099_02	2	0	0	0	0
Candidatus_Planktophila_dulcis	0	0	0	1	1
Candidatus_Regiella_endosymbiont_of_Tuberolachnus_salignus	0	0	0	0	2
Candidatus_Rickettsiella_viridis	2	0	0	0	0
Candidatus_Thalassolituus_haligoni	0	1	0	1	0
Candidatus_Tisiphia_endosymbiont_of_Beris_chalybata	0	0	0	0	2
Candidatus_Vesicomyidisocius_calyptogenae	0	0	0	0	2
Candidiatus_Paracoxiella_cheracis	0	0	1	0	1
Capnocytophaga_sp._oral_taxon_878	1	0	1	0	0
Cardiobacterium_hominis	2	0	0	0	0
Carnobacterium_maltaromaticum	0	1	0	1	0
Caulobacter_sp.	0	0	0	0	2
Caulobacter_vibrioides	0	1	1	0	0
Celeribacter_baekdonensis	0	0	0	2	0
Cellulomonas_dongxiuzhuiae	1	0	1	0	0
Cellulomonas_palmilytica	2	0	0	0	0
Cellulomonas_sp._McL0617	1	1	0	0	0
Cellulomonas_sp._NTE-D12	1	0	0	1	0
Cellulomonas_sp._Y8	0	2	0	0	0
Cellulosimicrobium_protaetiae	1	0	0	1	0
Cellulosimicrobium_sp._PMB13	2	0	0	0	0
Cercospora_beticola	0	0	0	2	0
Chania_multitudinisentens	0	0	2	0	0
Chelativorans_sp._AA-79	2	0	0	0	0
Chelatococcus_daeguensis	2	0	0	0	0
Chenggangzhangella_methanolivorans	1	1	0	0	0
Chitinibacter_fontanus	0	2	0	0	0
Chitinimonas_koreensis	0	2	0	0	0
Chitinophaga_alhagiae	2	0	0	0	0
Chloracidobacterium_aggregatum	0	0	0	2	0
Chlorobaculum_parvum	2	0	0	0	0
Chlorogloeopsis_fritschii	1	0	0	1	0
Christiangramia_fulva	0	0	0	0	2
Christiangramia_salexigens	0	0	2	0	0
Chromobacterium_amazonense	0	1	0	1	0
Chroococcidiopsis_sp._CCMEE_29	0	0	2	0	0
Chroococcidiopsis_thermalis	2	0	0	0	0
Chryseobacterium_aureum	2	0	0	0	0
Chryseobacterium_camelliae	1	0	1	0	0
Chryseobacterium_gleum	1	0	0	1	0
Chryseobacterium_salivictor	0	0	0	2	0
Chryseobacterium_shandongense	0	0	0	0	2
Chryseobacterium_sp._POL2	2	0	0	0	0
Chryseobacterium_sp._Y16C	0	0	0	0	2
Citricoccus_nitrophenolicus	1	1	0	0	0
Citrifermentans_bremense	1	0	1	0	0
Citrobacter_enshiensis	1	1	0	0	0
Citrobacter_rodentium	0	1	0	0	1
Clavibacter_zhangzhiyongii	0	2	0	0	0
Clostridioides_sp._ES-S-0107-01	0	0	2	0	0
Clostridium_sp._16K-1-R1	2	0	0	0	0
Clostridium_sp._BJN0013	1	1	0	0	0
Clostridium_sp._JS66	0	0	0	1	1
Clostridium_sp._MB40-C1	2	0	0	0	0
Cohaesibacter_sp._ES.047	0	1	1	0	0
Colwellia_sp._PAMC_21821	0	0	2	0	0
Comamonas_antarctica	0	2	0	0	0
Comamonas_resistens	0	1	0	1	0
Comamonas_sediminis	2	0	0	0	0
Comamonas_serinivorans	2	0	0	0	0
Comamonas_sp._C11	0	2	0	0	0
Corallococcus_exiguus	2	0	0	0	0
Corynebacterium_accolens	0	0	0	0	2
Corynebacterium_amycolatum	0	0	2	0	0
Corynebacterium_appendicis	2	0	0	0	0
Corynebacterium_aurimucosum	0	2	0	0	0
Corynebacterium_cystitidis	0	0	0	2	0
Corynebacterium_frankenforstense	1	0	1	0	0
Corynebacterium_lujinxingii	2	0	0	0	0
Corynebacterium_macginleyi	0	0	2	0	0
Corynebacterium_nuruki	1	1	0	0	0
Corynebacterium_poyangense	0	2	0	0	0
Corynebacterium_renale	0	0	1	1	0
Corynebacterium_suedekumii	0	2	0	0	0
Corynebacterium_testudinoris	2	0	0	0	0
Corynebacterium_ureicelerivorans	0	0	0	2	0
Couchioplanes_caeruleus	1	1	0	0	0
Coxiella-like_endosymbiont	0	0	0	1	1
Coxiella_endosymbiont_of_Dermacentor_marginatus	0	0	0	2	0
Crateriforma_conspicua	2	0	0	0	0
Croceibacterium_atlanticum	2	0	0	0	0
Cupriavidus_metallidurans	0	2	0	0	0
Cupriavidus_oxalaticus	1	1	0	0	0
Cupriavidus_sp._30B13	2	0	0	0	0
Curtobacterium_sp._MCBD17_026	2	0	0	0	0
Curvibacter_sp._AEP1-3	0	1	0	0	1
Cutibacterium_avidum	0	0	0	2	0
Cyanobacterium_aponinum	0	0	1	0	1
Cyclobacterium_amurskyense	0	0	2	0	0
Cylindrospermopsis_raciborskii	0	0	0	2	0
Dabirmavirus_hominis	0	0	0	2	0
Dechloromonas_aquae	0	0	1	1	0
Dechloromonas_denitrificans	1	1	0	0	0
Dechloromonas_sp._TW-R-39-2	0	2	0	0	0
Deinococcus_geothermalis	0	0	0	2	0
Deinococcus_irradiatisoli	2	0	0	0	0
Deinococcus_peraridilitoris	2	0	0	0	0
Deinococcus_radiodurans	0	0	0	1	1
Deinococcus_sp._KNUC1210	1	0	1	0	0
Deinococcus_sp._NW-56	0	0	0	0	2
Desulfitobacterium_dehalogenans	0	0	0	2	0
Desulfobaculum_bizertense	0	0	0	2	0
Desulfococcus_multivorans	1	1	0	0	0
Desulfomicrobium_baculatum	1	1	0	0	0
Desulfosporosinus_acidiphilus	0	0	0	2	0
Desulfovibrio_ferrophilus	1	0	0	0	1
Desulfovibrio_sp._WGS1351	2	0	0	0	0
Desulfuromonas_soudanensis	1	0	0	0	1
Devosia_beringensis	0	2	0	0	0
Devosia_oryziradicis	1	0	1	0	0
Devosia_sp._1566	0	0	2	0	0
Devosia_sp._Naph2	0	2	0	0	0
Devosia_sp._SD17-2	0	0	1	0	1
Devosia_sp._SL43	2	0	0	0	0
Dialister_hominis	0	0	0	0	2
Dialister_massiliensis	0	0	0	0	2
Diaphorobacter_aerolatus	1	1	0	0	0
Diaphorobacter_ruginosibacter	1	1	0	0	0
Diaphorobacter_sp._LI3	0	2	0	0	0
Dickeya_ananatis	2	0	0	0	0
Dickeya_dadantii	2	0	0	0	0
Dolichospermum_flos-aquae	0	0	0	2	0
Dongshaea_marina	2	0	0	0	0
Duganella_sp._BuS-21	0	2	0	0	0
Duganella_zoogloeoides	1	0	1	0	0
Dyella_japonica	0	2	0	0	0
Dyella_marensis	0	0	0	2	0
Dyella_telluris	2	0	0	0	0
Dyella_thiooxydans	0	1	0	1	0
Dysgonomonas_sp._HDW5B	0	0	0	2	0
Echinicola_marina	0	0	0	2	0
Ectothiorhodospira_haloalkaliphila	1	1	0	0	0
Ectothiorhodospira_shaposhnikovii	2	0	0	0	0
Edwardsiella_ictaluri	0	1	0	1	0
Edwardsiella_tarda	0	0	0	1	1
Ehrlichia_ruminantium	0	0	2	0	0
Emticicia_oligotrophica	1	0	0	1	0
Endozoicomonas_sp._SCSIO_W0465	0	0	0	2	0
Ensifer_sp._R-19	0	2	0	0	0
Enterobacter_chuandaensis	1	1	0	0	0
Enterobacter_cloacae_complex_sp._Mu1197	1	1	0	0	0
Enterobacter_quasiroggenkampii	0	0	0	0	2
Enterobacter_sp._ECC-019	2	0	0	0	0
Enterobacter_wuhouensis	0	0	2	0	0
Enterobacteriaceae_endosymbiont_of_Donacia_clavipes	2	0	0	0	0
Enterococcus_avium	1	0	1	0	0
Enterococcus_saccharolyticus	2	0	0	0	0
Enterococcus_sp._AZ170	0	0	2	0	0
Enterococcus_sp._DIV0212c	0	0	0	2	0
Enterococcus_sp._FZMF	0	0	0	0	2
Epilithonimonas_vandammei	2	0	0	0	0
Erwinia_billingiae	0	0	0	2	0
Erythrobacter_aureus	0	0	0	2	0
Erythrobacter_sp._KY5	2	0	0	0	0
Exiguobacterium_acetylicum	1	1	0	0	0
Ezakiella_massiliensis	1	0	0	0	1
Faecalibacter_bovis	0	2	0	0	0
Fenollaria_massiliensis	0	0	0	0	2
Ferrimonas_sp._SCSIO_43195	1	0	0	0	1
Ferrovum_myxofaciens	2	0	0	0	0
Fictibacillus_enclensis	0	0	0	2	0
Fictibacillus_phosphorivorans	2	0	0	0	0
Fictibacillus_sp._JL2B1089	0	0	0	2	0
Flaviflexus_salsibiostraticola	1	1	0	0	0
Flavobacterium_cerinum	0	0	0	2	0
Flavobacterium_endoglycinae	0	2	0	0	0
Flavobacterium_ginsengisoli	2	0	0	0	0
Flavobacterium_limnophilum	0	1	0	0	1
Flavobacterium_oreochromis	2	0	0	0	0
Flavobacterium_ovatum	2	0	0	0	0
Flavobacterium_psychrotrophum	2	0	0	0	0
Flavobacterium_sediminis	0	0	0	2	0
Flavobacterium_sp._N1719	0	2	0	0	0
Fontisphaera_persica	2	0	0	0	0
Francisella_hispaniensis	0	2	0	0	0
Fuerstiella_marisgermanici	1	0	1	0	0
Fusobacterium_hwasookii	0	0	1	1	0
Fusobacterium_necrophorum	0	0	1	0	1
Gardnerella_sp._DNF00354	0	0	2	0	0
Gardnerella_sp._DNF00502	0	0	0	0	2
Gemmobacter_fulvus	2	0	0	0	0
Georgenia_sp._TF02-10	0	1	0	0	1
Georhizobium_profundi	0	2	0	0	0
Gleimia_hominis	0	2	0	0	0
Gluconobacter_albidus	0	2	0	0	0
Gluconobacter_roseus	0	2	0	0	0
Glutamicibacter_sp._2E12	0	0	0	0	2
Gordonia_alkanivorans	2	0	0	0	0
Gordonia_bronchialis	0	2	0	0	0
Gordonia_insulae	0	1	0	0	1
Gordonia_jinghuaiqii	1	1	0	0	0
Gracilinema_caldarium	0	0	0	2	0
Granulibacter_bethesdensis	0	2	0	0	0
Gulosibacter_molinativorax	0	2	0	0	0
Halalkalibacterium_halodurans	2	0	0	0	0
Halanaeroarchaeum_sulfurireducens	0	0	2	0	0
Halapricum_desulfuricans	1	1	0	0	0
Haliscomenobacter_hydrossis	0	1	0	0	1
Halobacillus_salinarum	0	0	0	0	2
Halobaculum_lipolyticum	0	2	0	0	0
Haloferax_mediterranei	0	2	0	0	0
Haloferula_helveola	1	0	0	0	1
Haloimpatiens_lingqiaonensis	0	0	0	2	0
Halomarina_halobia	0	0	0	2	0
Halomonas_binhaiensis	0	2	0	0	0
Halomonas_cupida	2	0	0	0	0
Halomonas_elongata	1	0	0	1	0
Halomonas_halophila	0	0	0	0	2
Halomonas_sp._BM-2019	2	0	0	0	0
Halomonas_sp._CKK8	1	1	0	0	0
Halomonas_sp._M1	0	2	0	0	0
Halomonas_sp._M4R1S46	1	0	0	1	0
Haloplanus_rubicundus	2	0	0	0	0
Halorhodospira_halophila	0	1	0	1	0
Halorientalis_marina	1	1	0	0	0
Halorubrum_xinjiangense	0	2	0	0	0
Halosegnis_marinus	0	2	0	0	0
Halosimplex_rarum	0	2	0	0	0
Halosquirtibacter_xylanolyticus	0	0	0	2	0
Halothiobacillus_neapolitanus	1	1	0	0	0
Hartmannibacter_diazotrophicus	2	0	0	0	0
Herbaspirillum_rubrisubalbicans	0	2	0	0	0
Herbaspirillum_sp._meg3	0	1	1	0	0
Hoeflea_sp._Naph1	0	0	0	2	0
Hydrogenimonas_cancrithermarum	2	0	0	0	0
Hydrogenimonas_thermophila	1	0	1	0	0
Hydrogenophaga_crassostreae	0	1	1	0	0
Hydrogenophaga_sp._NH-16	2	0	0	0	0
Hydrogenophaga_taeniospiralis	0	1	0	0	1
Hylemonella_gracilis	0	2	0	0	0
Hymenobacter_aerilatus	1	1	0	0	0
Hymenobacter_cellulosilyticus	0	2	0	0	0
Hymenobacter_radiodurans	0	2	0	0	0
Hymenobacter_sedentarius	1	1	0	0	0
Hymenobacter_sp._APR13	1	1	0	0	0
Hymenobacter_sp._GOD-10R	0	0	0	0	2
Hymenobacter_sp._PAMC_26628	0	2	0	0	0
Hypericibacter_terrae	2	0	0	0	0
Hyphococcus_sp.	1	0	1	0	0
Hyphomicrobium_sp._1Nfss2.1	0	2	0	0	0
Hyphomonas_sp._CACIAM_19H1	0	0	0	2	0
Ilumatobacter_sp.	1	1	0	0	0
Immundisolibacter_cernigliae	1	1	0	0	0
Iodobacter_ciconiae	0	2	0	0	0
Iodobacter_fluviatilis	2	0	0	0	0
Janibacter_cremeus	2	0	0	0	0
Jannaschia_sp._W003	2	0	0	0	0
Janthinobacterium_sp._HH102	2	0	0	0	0
Janthinobacterium_sp._LM6	0	0	2	0	0
Jeotgalibaca_dankookensis	1	0	1	0	0
Kaistella_carnis	0	0	0	0	2
Ketogulonicigenium_vulgare	0	1	0	1	0
Kineococcus_radiotolerans	2	0	0	0	0
Kitasatospora_sp._NBC_00458	0	1	0	0	1
Kitasatospora_sp._NBC_01539	0	0	2	0	0
Klebsiella_sp._P1CD1	2	0	0	0	0
Kocuria_marina	0	0	1	0	1
Kocuria_rhizophila	0	1	0	0	1
Kocuria_sp._KD4	0	0	0	0	2
Kolteria_novifilia	0	0	1	0	1
Komagataeibacter_nataicola	2	0	0	0	0
Kordia_antarctica	1	0	0	0	1
Kordiimonas_sp.	0	2	0	0	0
Kordiimonas_sp._SCSIO_12603	0	0	1	1	0
Kosakonia_oryzendophytica	0	2	0	0	0
Kosakonia_sp._MUSA4	1	1	0	0	0
Kribbella_sp._CA-245084	2	0	0	0	0
Kribbella_sp._CA-294648	0	0	0	2	0
Kribbella_sp._GL6	0	2	0	0	0
Kroppenstedtia_eburnea	1	0	0	1	0
Ktedonosporobacter_rubrisoli	1	1	0	0	0
Kutzneria_albida	2	0	0	0	0
Kwoniella_mangrovensis	0	0	0	2	0
Kwoniella_shandongensis	0	0	0	2	0
Labilibaculum_antarcticum	1	0	1	0	0
Lacibacter_sediminis	0	2	0	0	0
Lacinutrix_sp._5H-3-7-4	0	0	0	2	0
Lactiplantibacillus_paraplantarum	0	0	2	0	0
Lactobacillus_helveticus	0	0	0	2	0
Lactobacillus_paragasseri	0	0	1	1	0
Lactococcus_allomyrinae	0	0	0	0	2
Lactococcus_protaetiae	0	0	1	0	1
Larkinella_insperata	2	0	0	0	0
Leclercia_sp._W17	1	1	0	0	0
Legionella_longbeachae	0	0	0	0	2
Leifsonia_poae	0	1	1	0	0
Leifsonia_sp._McL0608	0	0	1	1	0
Leifsonia_sp._ZF2019	2	0	0	0	0
Lentilactobacillus_parabuchneri	1	0	0	1	0
Lentilitoribacter_sp._Alg239-R112	0	0	0	0	2
Leptospira_tipperaryensis	0	0	0	2	0
Leptotrichia_sp._HMT-225	0	0	0	0	2
Leptotrichia_trevisanii	0	0	0	0	2
Leuconostoc_carnosum	0	0	0	1	1
Lichenicoccus_sp.	0	1	0	0	1
Ligilactobacillus_aviarius	0	0	0	0	2
Ligilactobacillus_saerimneri	0	0	0	1	1
Limihaloglobus_sulfuriphilus	0	0	0	2	0
Limnobacter_profundi	2	0	0	0	0
Limnobaculum_zhutongyuii	0	0	0	2	0
Limnohabitans_sp._103DPR2	0	2	0	0	0
Limnohabitans_sp._YIMB22184	2	0	0	0	0
Limosilactobacillus_gastricus	0	0	0	2	0
Limosilactobacillus_pontis	1	0	0	0	1
Limosilactobacillus_vaginalis	0	0	2	0	0
Liquorilactobacillus_satsumensis	1	0	0	1	0
Listeria_innocua	0	0	1	1	0
Listeria_weihenstephanensis	0	0	0	0	2
Longispora_sp._K20-0274	1	1	0	0	0
Lonsdalea_populi	0	0	2	0	0
Luteibacter_aegosomaticola	2	0	0	0	0
Luteibacter_aegosomatis	0	2	0	0	0
Luteibacter_aegosomatissinici	2	0	0	0	0
Luteibacter_pinisoli	2	0	0	0	0
Luteibacter_sp._Lutesp34	0	0	0	2	0
Luteimonas_granuli	1	1	0	0	0
Luteimonas_sp._S4-F44	2	0	0	0	0
Luteimonas_sp._WGS1318	0	0	0	2	0
Luteipulveratus_mongoliensis	1	0	1	0	0
Luteococcus_sp._OSA5	0	2	0	0	0
Luteolibacter_sp._SL250	2	0	0	0	0
Lysinibacillus_macroides	0	0	0	2	0
Lysinibacillus_sp._SGAir0095	1	0	0	0	1
Lysinibacillus_timonensis	0	0	1	1	0
Lysobacter_enzymogenes	2	0	0	0	0
Macrococcus_armenti	0	0	0	0	2
Macrococcus_psychrotolerans	0	0	0	0	2
Macrococcus_sp._18KM676	2	0	0	0	0
Magnetospirillum_gryphiswaldense	1	0	1	0	0
Mahella_australiensis	1	1	0	0	0
Mannheimia_glucosida	0	0	0	1	1
Maridesulfovibrio_hydrothermalis	0	0	1	1	0
Mariluticola_halotolerans	2	0	0	0	0
Mariniflexile_fucanivorans	0	0	1	0	1
Mariniflexile_sp._AS56	0	1	0	1	0
Marinobacter_psychrophilus	2	0	0	0	0
Marinobacter_salarius	0	1	0	1	0
Marinobacter_shengliensis	2	0	0	0	0
Marinobacter_sp._es.042	1	0	0	1	0
Marinomonas_foliarum	0	0	0	2	0
Marinomonas_sp._GJ51-6	0	2	0	0	0
Marisediminicola_antarctica	0	0	2	0	0
Maritalea_myrionectae	0	2	0	0	0
Martelella_endophytica	1	0	0	0	1
Massilia_litorea	0	2	0	0	0
Massilia_sp._PAMC28688	1	1	0	0	0
Meiothermus_ruber	2	0	0	0	0
Melaminivora_suipulveris	1	0	0	0	1
Melioribacter_roseus	0	2	0	0	0
Mesomycoplasma_dispar	0	0	0	2	0
Mesomycoplasma_molare	0	0	0	0	2
Mesorhizobium_sp._PAMC28654	0	2	0	0	0
Mesorhizobium_sp._RIZ17	0	0	0	2	0
Metabacillus_sediminilitoris	0	0	1	1	0
Metabacillus_sediminis	1	0	0	0	1
Metamycoplasma_faucium	0	0	1	1	0
Methanobacterium_lacus	0	0	0	2	0
Methanolacinia_petrolearia	1	0	0	0	1
Methanolobus_sp._ZRKC3	2	0	0	0	0
Methanosarcina_lacustris	0	0	0	2	0
Methylacidimicrobium_sp._AP8	0	2	0	0	0
Methylibium_petroleiphilum	1	1	0	0	0
Methylobacterium_brachiatum	2	0	0	0	0
Methylobacterium_radiotolerans	0	0	1	1	0
Methyloceanibacter_caenitepidi	1	1	0	0	0
Methylocystis_bryophila	0	2	0	0	0
Methylomusa_anaerophila	0	1	0	0	1
Methylorubrum_populi	2	0	0	0	0
Methylosinus_trichosporium	0	0	2	0	0
Methylovirgula_ligni	2	0	0	0	0
Microbacterium_amylolyticum	1	0	1	0	0
Microbacterium_aurantiacum	0	0	0	0	2
Microbacterium_caowuchunii	1	0	0	1	0
Microbacterium_laevaniformans	2	0	0	0	0
Microbacterium_lemovicicum	2	0	0	0	0
Microbacterium_luteolum	2	0	0	0	0
Microbacterium_protaetiae	0	2	0	0	0
Microbacterium_sp._1S1	2	0	0	0	0
Microbacterium_sp._Clip185	1	0	1	0	0
Microbacterium_sp._LWH13-1.2	2	0	0	0	0
Microbacterium_sp._No._7	1	1	0	0	0
Microbacterium_sp._PM5	0	2	0	0	0
Microbacterium_sp._R86528	0	0	2	0	0
Microbacterium_sp._SL75	2	0	0	0	0
Microbacterium_sp._zg-B96	0	2	0	0	0
Microbulbifer_sp._ARAS458-1	1	0	0	1	0
Microbulbifer_sp._THAF38	0	0	0	2	0
Microbulbifer_sp._YPW16	1	0	0	1	0
Microcella_sp.	0	0	0	2	0
Micromonospora_chokoriensis	2	0	0	0	0
Micromonospora_coriariae	0	0	0	0	2
Micromonospora_echinaurantiaca	0	2	0	0	0
Micromonospora_echinofusca	2	0	0	0	0
Micromonospora_halotolerans	0	0	0	1	1
Micromonospora_maris	2	0	0	0	0
Micromonospora_peucetia	1	0	0	1	0
Micromonospora_profundi	0	2	0	0	0
Micromonospora_purpureochromogenes	2	0	0	0	0
Micromonospora_sagamiensis	2	0	0	0	0
Micromonospora_sp._JCM_30529	1	0	1	0	0
Micromonospora_sp._NBC_00330	0	0	0	0	2
Micromonospora_sp._NBC_01699	0	0	0	2	0
Micromonospora_sp._NBRC_110009	0	2	0	0	0
Micromonospora_zamorensis	1	0	0	0	1
Microvirga_sp._RSM25	2	0	0	0	0
Miltoncavirus_PhiPA3	0	0	0	2	0
Miniimonas_sp._S16	0	0	0	2	0
Minwuia_sp.	2	0	0	0	0
Mixta_calida	1	0	0	0	1
Modestobacter_italicus	0	0	0	0	2
Mongoliitalea_daihaiensis	2	0	0	0	0
Moraxella_bovis	0	1	0	0	1
Moritella_marina	0	1	0	1	0
Mucilaginibacter_ginsenosidivorans	1	1	0	0	0
Mucilaginibacter_sp.	0	2	0	0	0
Mucilaginibacter_sp._14171R-50	2	0	0	0	0
Mucilaginibacter_sp._KACC_22063	0	0	0	0	2
Mycetocola_sp._JXN-3	1	0	1	0	0
Mycetocola_spongiae	0	2	0	0	0
Mycoavidus_cysteinexigens	0	0	0	1	1
Mycobacterium_avium	1	0	1	0	0
Mycobacterium_intracellulare	0	1	0	1	0
Mycobacterium_kubicae	0	2	0	0	0
Mycobacterium_parmense	0	1	1	0	0
Mycobacterium_riyadhense	2	0	0	0	0
Mycobacterium_sp._ITM-2016-00316	0	0	2	0	0
Mycobacterium_sp._SMC-11	2	0	0	0	0
Mycobacterium_sp._SMC-14	2	0	0	0	0
Mycobacterium_sp._SMC-4	1	1	0	0	0
Mycobacterium_sp._WMMD1722	0	1	0	1	0
Mycobacterium_stomatepiae	0	2	0	0	0
Mycobacteroides_immunogenum	2	0	0	0	0
Mycolicibacillus_koreensis	0	1	0	1	0
Mycolicibacillus_parakoreensis	0	0	0	2	0
Mycolicibacterium_aichiense	2	0	0	0	0
Mycolicibacterium_anyangense	2	0	0	0	0
Mycolicibacterium_doricum	0	2	0	0	0
Mycolicibacterium_duvalii	1	1	0	0	0
Mycolicibacterium_gadium	0	2	0	0	0
Mycolicibacterium_mageritense	2	0	0	0	0
Mycolicibacterium_sp._YH-1	1	1	0	0	0
Mycolicibacterium_tokaiense	0	0	0	1	1
Mycolicibacterium_vanbaalenii	0	0	2	0	0
Mycoplasma_capricolum	1	0	0	0	1
Mycoplasma_tauri	0	0	2	0	0
