Taxonomy	C1	C2
Amazon lily mosaic virus	0	0
Ambe phlebovirus	0	0
Ambystoma tigrinum virus	0	0
Amdoparvovirus sp.	0	0
Amedibacterium intestinale	0	0
American bat vesiculovirus	0	0
American hop latent virus	0	0
American plum line pattern virus	0	0
Aminipila butyrica	0	0
Aminipila sp. CBA3637	0	0
Aminipila sp. JN-18	0	0
Aminobacter aminovorans	0	0
Aminobacterium colombiense	0	0
Aminobacter sp. MDW-2	0	0
Aminobacter sp. MSH1	0	0
Aminobacter sp. SR38	0	0
Aminomonas paucivorans	0	0
Ammonifex degensii	0	0
Amniculibacterium sp. G2-70	0	1
Amphibacillus xylanus	0	0
Ampivirus A	0	0
Amsacta moorei entomopoxvirus	0	0
Amycolatopsis albispora	0	0
Amycolatopsis benzoatilytica	0	0
Amycolatopsis japonica	0	0
Amycolatopsis keratiniphila	0	0
Amycolatopsis mediterranei	0	0
Amycolatopsis methanolica	0	0
Amycolatopsis orientalis	0	1
Amycolatopsis sp. AA4	0	0
Amycolatopsis sp. BJA-103	0	0
Amycolatopsis sp. Hca4	0	0
Amycolatopsis sp. YIM 10	0	0
Amylolactobacillus amylophilus	0	0
Anabaena cylindrica	0	0
Anabaena phage A-4L	0	0
Anabaena sp. 90	0	0
Anabaena sp. WA102	0	0
Anabaena sp. YBS01	0	0
Anabaenopsis circularis	0	0
Anaerobacillus isosaccharinicus	0	0
Anaerobutyricum hallii	0	0
Anaerococcus mediterraneensis	0	0
Anaerococcus prevotii	0	0
Anaerocolumna cellulosilytica	0	0
Anaerocolumna sp. CBA3638	0	0
Anaerocolumna sp. CTTW	0	0
Anaerohalosphaera lusitana	0	0
Anaerolinea sp. 'rifampicinis'	0	0
Anaerolinea thermophila	0	0
Anaeromyxobacter dehalogenans	0	0
Anaeromyxobacter sp. Fw109-5	0	0
Anaeromyxobacter sp. K	0	0
Anaerostipes caccae	0	0
Anaerostipes hadrus	0	0
Anaerostipes rhamnosivorans	0	0
Anaerotignum propionicum	0	0
Anagyris vein yellowing virus	0	0
Ananas comosus	0	0
Anaplasma centrale	0	0
Anaplasma marginale	0	0
Anaplasma ovis	0	0
Anaplasma phagocytophilum	0	0
Anaplasma platys	0	0
Anatid alphaherpesvirus 1	0	0
Ancient caribou feces associated virus	0	0
Ancylobacter pratisalsi	0	0
Ancylobacter sp. TS-1	0	0
Andean potato latent virus	0	0
Andean potato mild mosaic virus	0	0
Andes orthohantavirus	0	0
Andrena haemorrhoa nege-like virus	0	0
Andrographis yellow vein leaf curl betasatellite	0	0
Andrographis yellow vein leaf curl virus	0	0
