# Gene Family	C1_Abundance-RPKs
K01154|g__Fusobacterium.s__Fusobacterium_nucleatum	2.32
K01159	11.192
K01159|g__Fusobacterium.s__Fusobacterium_nucleatum	8.387
K01159|unclassified	2.805
K01174	3.722
K01174|g__Filifactor.s__Filifactor_alocis	3.722
K01190	4.302
K01190|unclassified	4.302
K01206	4.766
K01206|g__Prevotella.s__Prevotella_nigrescens	4.766
K01243	3.285
K01243|g__Prevotella.s__Prevotella_nigrescens	3.285
K01255	18.6
K01255|g__Filifactor.s__Filifactor_alocis	4.391
K01255|g__Fusobacterium.s__Fusobacterium_nucleatum	14.21
K01258	27.696
K01258|g__Fusobacterium.s__Fusobacterium_nucleatum	10.536
K01258|g__Prevotella.s__Prevotella_nigrescens	6.228
K01258|unclassified	10.933
K01262	22.162
K01262|g__Fusobacterium.s__Fusobacterium_nucleatum	22.162
K01265	13.926
K01265|g__Filifactor.s__Filifactor_alocis	6.154
K01265|unclassified	7.772
K01267	11.773
K01267|g__Filifactor.s__Filifactor_alocis	1.689
K01267|g__Fusobacterium.s__Fusobacterium_nucleatum	10.084
K01269	12.763
K01269|g__Fusobacterium.s__Fusobacterium_nucleatum	12.763
K01270	16.076
K01270|g__Filifactor.s__Filifactor_alocis	3.645
K01270|g__Fusobacterium.s__Fusobacterium_nucleatum	12.432
K01278	0.954
K01278|g__Prevotella.s__Prevotella_nigrescens	0.954
K01304	18.349
K01304|g__Fusobacterium.s__Fusobacterium_nucleatum	18.349
K01338	29.519
K01338|g__Filifactor.s__Filifactor_alocis	0.9
K01338|g__Fusobacterium.s__Fusobacterium_nucleatum	20.843
K01338|unclassified	7.777
K01356	17.773
K01356|g__Filifactor.s__Filifactor_alocis	1.845
K01356|g__Fusobacterium.s__Fusobacterium_nucleatum	15.928
K01358	38.592
K01358|g__Campylobacter.s__Campylobacter_showae	2.037
K01358|g__Fusobacterium.s__Fusobacterium_nucleatum	26.971
K01358|unclassified	9.585
K01409	10.763
K01409|g__Filifactor.s__Filifactor_alocis	2.124
K01409|g__Fusobacterium.s__Fusobacterium_nucleatum	8.639
K01419	2.304
K01419|g__Campylobacter.s__Campylobacter_showae	2.304
K01424	19.122
K01424|g__Filifactor.s__Filifactor_alocis	4.405
K01424|g__Prevotella.s__Prevotella_nigrescens	1.046
