Genus	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
Delftia	36	33	13	52	22	52	6	69	53	117	8	50	26	1	35	66	43
Ensifer	78	67	34	27	29	29	47	135	88	41	4	22	19	1	11	6	42
Salisediminibacterium	21	32	36	28	67	45	8	16	72	11	3	57	96	24	62	68	30
Adhaeribacter	5	81	53	52	58	30	5	7	30	1	39	64	15	21	59	114	38
Ferruginibacter	4	92	92	195	50	47	3	5	14	2	7	33	36	2	28	12	50
Actinobacillus	33	66	53	67	35	60	7	38	22	38	10	81	48	3	43	30	37
Fulvivirga	11	57	50	91	114	69	16	46	37	4	12	17	54	12	55	5	19
Ureibacillus	3	39	42	45	47	45	97	24	5	29	4	28	53	20	67	49	69
Candidatus_Methylospira	10	38	4	8	114	26	0	40	6	36	62	42	20	82	154	4	12
Candidatus_Velamenicoccus	60	74	12	8	4	46	36	60	118	148	6	0	8	0	20	26	32
Myroides	77	42	63	28	56	30	161	43	9	15	20	15	63	11	10	7	7
Vogesella	74	65	97	37	24	38	22	41	56	87	3	2	22	0	13	13	60
Roseateles	203	44	11	23	19	20	13	66	52	58	11	10	28	4	26	19	45
Salicibibacter	32	18	20	18	14	26	10	10	24	18	41	80	141	94	74	22	10
Sodalis	39	39	68	20	47	61	51	59	79	40	10	24	27	4	19	8	56
Aspergillus	27	74	43	58	41	57	7	8	15	40	82	23	71	32	56	5	11
Puccinia	80	33	32	58	21	33	37	9	17	43	11	48	48	19	74	18	67
Methylorubrum	74	73	18	32	15	49	22	53	60	73	15	22	41	9	29	35	26
Advenella	79	36	8	21	16	19	58	27	95	76	2	23	27	32	23	18	85
Desulfosediminicola	80	28	40	39	23	16	18	71	31	96	8	41	41	42	28	27	16
Wulfhauvirus	0	0	0	15	0	0	0	0	0	0	630	0	0	0	0	0	0
Nannocystis	22	24	15	25	31	10	28	21	38	29	54	50	93	0	32	141	28
Desulfocurvibacter	88	56	17	52	11	19	43	42	73	115	0	1	19	0	10	8	82
Jannaschia	105	64	39	28	37	56	47	78	49	40	18	5	17	0	13	26	13
Prosthecochloris	64	98	28	62	53	64	17	28	75	42	0	9	28	5	10	8	40
Spiribacter	37	78	21	37	63	64	22	33	23	80	0	36	46	10	57	4	18
Acidilutibacter	34	35	24	47	26	17	2	58	45	37	19	73	101	28	17	26	37
Afipia	91	26	25	20	12	42	45	34	50	30	98	49	30	0	12	50	12
Cyanobium	72	51	15	12	40	29	31	19	20	268	8	36	12	1	4	2	6
Granulicella	42	83	23	27	51	37	35	49	71	111	23	11	19	6	12	9	15
Pradoshia	5	27	33	17	12	30	1	16	6	1	106	22	125	130	51	18	22
Georgenia	101	31	18	22	28	38	55	55	54	47	23	38	44	10	11	14	31
Rhodovastum	45	51	6	38	4	9	4	111	66	224	0	15	6	0	14	4	23
Pararhizobium	43	53	17	39	60	52	6	28	63	36	55	14	24	5	15	10	99
Sphaerotilus	189	32	14	18	5	9	38	115	84	33	0	11	11	0	9	11	39
Thermodesulfobacterium	3	15	19	17	11	39	47	8	0	5	122	35	77	110	33	70	3
Alkaliflexus	29	29	30	182	44	42	1	4	18	2	34	33	26	35	63	17	24
Hahella	75	36	32	23	56	103	22	55	81	21	7	12	35	4	16	4	30
Urbifossiella	115	23	17	7	5	11	35	65	39	178	1	11	15	0	17	49	23
Propioniciclava	125	23	21	13	98	27	29	64	49	19	28	47	22	3	11	13	16
Paludibacter	31	56	40	61	166	94	3	8	106	4	0	8	9	3	0	2	15
Methanobacterium	12	24	19	19	46	35	2	2	0	10	32	100	43	102	130	14	13
Cereibacter	48	83	19	27	44	12	30	40	91	62	8	10	28	4	44	15	37
Cuniculiplasma	0	38	10	22	4	30	0	0	0	0	112	32	84	244	16	10	0
Rhodovulum	23	65	26	7	6	9	22	33	46	270	6	2	33	3	18	20	13
Roseococcus	39	32	21	19	33	38	38	26	15	38	13	52	87	4	84	45	17
Dehalococcoides	52	22	11	80	16	24	8	38	21	235	3	5	25	16	15	5	22
Dehalogenimonas	65	34	4	5	13	3	36	59	117	151	3	3	5	0	5	3	91
Runella	53	29	14	112	69	67	36	22	52	17	9	26	11	4	29	26	21
Streptomonospora	47	46	37	14	15	24	21	47	42	104	135	5	35	1	11	3	10
Paucibacter	89	49	17	15	13	36	18	20	52	95	5	47	56	1	9	44	30
Limnohabitans	27	49	44	20	42	33	18	68	11	27	24	70	45	29	20	53	14
Gemmata	135	26	23	21	10	5	76	35	52	97	17	4	27	4	22	13	26
Ramlibacter	84	55	27	26	12	19	31	34	48	154	3	17	17	0	9	20	36
Desulfoscipio	21	37	79	5	16	8	21	80	28	69	7	52	46	24	12	24	62
Nocardiopsis	16	51	45	13	25	50	32	27	45	13	59	36	35	19	66	38	21
Borrelia	1	55	50	29	29	42	55	38	59	8	7	9	38	22	50	15	83
Bulleidia	37	61	86	10	35	34	3	6	0	19	107	45	55	8	50	13	21
Geoalkalibacter	70	75	27	38	16	23	22	45	75	74	6	8	14	0	10	9	75
Prochlorococcus	13	47	72	8	16	24	67	22	56	62	18	12	24	8	57	40	40
Syntrophotalea	48	46	14	39	20	42	49	45	53	70	6	15	26	3	39	20	48
Cryobacterium	101	49	17	14	20	10	53	68	22	80	6	13	23	3	34	9	56
Antarcticibacterium	33	36	7	208	37	24	4	38	70	42	2	5	6	0	9	3	53
Celeribacter	46	48	30	155	41	14	51	38	29	52	2	18	18	5	4	8	18
Gracilibacillus	12	37	45	22	62	25	0	6	0	6	85	42	89	65	36	20	22
Nitratireductor	54	55	9	19	13	19	22	57	73	50	5	19	35	26	22	20	76
Sandaracinus	37	57	40	19	28	43	22	31	77	75	30	18	15	5	18	27	32
Flammeovirga	2	46	53	277	25	39	1	7	16	3	4	15	25	0	39	7	14
Luteitalea	53	45	20	21	9	14	25	73	76	153	4	21	19	0	6	10	23
Polyangium	92	32	6	5	49	14	64	7	103	104	5	29	3	0	4	32	22
Thermomonospora	84	70	6	15	61	42	30	32	72	29	3	65	18	1	11	10	21
Paralcaligenes	24	19	18	22	32	24	29	26	46	39	28	47	60	0	38	90	27
Acididesulfobacillus	153	47	9	13	11	16	74	35	24	58	6	21	25	0	5	64	7
Dietzia	20	45	25	12	66	48	32	10	31	30	7	117	54	8	15	30	17
Candida	4	25	11	27	28	36	0	3	20	2	110	88	21	2	61	117	9
Fibrobacter	24	76	34	25	32	65	5	16	29	14	15	26	33	5	46	65	52
Thermacetogenium	122	21	17	21	5	13	35	35	60	90	3	0	11	0	5	1	123
Wolbachia	34	28	14	160	60	29	6	30	10	44	1	24	12	3	52	13	41
Haliangium	34	17	8	30	9	21	21	29	131	42	14	58	62	6	12	42	24
Thermoanaerobacter	9	31	82	86	47	106	19	6	4	1	10	59	61	1	18	6	14
Caminicella	9	77	77	33	66	65	6	4	1	3	18	16	46	55	54	21	5
Dechloromonas	22	54	12	60	34	27	17	31	77	119	12	10	17	9	18	9	28
Desulfarculus	101	32	13	12	20	24	50	38	79	124	1	2	11	0	20	2	26
Starkeya	67	37	21	13	28	22	81	40	18	166	15	7	3	8	18	7	4
Altererythrobacter	29	34	23	41	28	54	28	40	65	41	15	29	18	1	39	50	18
Biomaibacter	53	40	31	29	9	52	17	58	21	68	11	8	22	11	98	6	18
Lentibacillus	28	102	16	10	17	37	4	33	15	26	90	38	66	13	35	4	15
Syntrophobotulus	64	63	8	31	23	107	2	33	26	57	8	26	24	14	20	6	37
Thermincola	63	53	29	7	8	32	18	66	5	80	14	33	46	2	30	24	38
Wenyingzhuangia	0	17	11	11	39	9	0	0	11	0	265	65	5	6	85	20	2
Globicatella	9	7	5	35	9	46	92	25	3	0	8	35	32	56	31	18	131
Lacinutrix	6	18	35	178	44	40	4	10	30	2	43	5	45	1	16	13	52
Stappia	15	43	6	21	60	33	7	22	35	39	9	19	48	20	57	90	18
Gilliamella	17	44	19	18	37	52	6	6	1	9	39	29	82	30	20	48	84
Falsihalocynthiibacter	123	16	12	10	59	29	40	62	4	1	0	15	38	10	60	53	8
Labilibaculum	14	35	8	324	32	31	0	9	47	1	10	11	4	0	9	4	1
Pontibacillus	12	58	10	32	91	74	8	12	16	1	14	43	57	13	37	14	48
Chondrinema	40	48	35	28	48	102	1	15	17	1	42	21	31	45	21	25	19
Candidatus_Blochmannia	19	134	12	49	32	7	48	43	14	25	18	27	12	2	22	36	38
Pseudothermotoga	190	11	13	16	25	12	13	1	2	16	11	44	98	7	5	68	6
Selenobaculum	10	121	48	14	43	70	1	7	10	3	7	21	24	0	28	63	68
Sulfurospirillum	14	33	19	114	22	57	3	10	22	4	116	6	29	13	29	33	11
Porphyrobacter	29	43	12	31	28	28	46	37	59	70	62	30	35	1	12	4	7
Ruania	40	31	39	27	21	20	25	47	84	43	26	16	39	15	18	31	11
Sebaldella	5	43	33	6	32	29	5	3	0	0	46	27	59	185	35	7	18
Torulaspora	1	15	8	3	4	25	0	3	0	0	15	87	117	197	5	42	6
Xianfuyuplasma	0	28	38	4	6	20	114	202	6	30	48	0	4	0	0	26	2
Pullulanibacillus	105	23	49	11	34	135	14	48	1	5	4	2	17	2	32	4	41
Rhodomicrobium	32	26	17	25	11	21	12	36	19	68	44	46	40	1	34	84	11
Tepidiforma	26	36	20	20	2	12	20	33	45	150	17	31	24	0	21	39	31
Baekduia	61	44	25	11	17	26	46	45	108	68	32	5	7	3	0	17	10
Phreatobacter	106	41	15	35	8	27	22	25	45	68	38	25	23	3	17	11	16
Solibacillus	16	47	41	22	54	52	15	24	4	110	15	47	22	6	35	8	6
Niabella	9	36	26	38	28	24	4	43	56	14	47	44	24	43	32	44	10
Alcaligenes	55	71	23	18	88	44	15	26	51	15	0	8	8	7	16	0	76
Croceicoccus	80	50	9	12	16	36	19	23	25	165	0	15	31	0	9	8	22
Teredinibacter	7	30	39	145	14	52	1	14	1	0	19	63	43	4	13	7	64
Aliiroseovarius	59	47	10	33	32	57	15	14	12	51	10	7	84	1	50	15	18
Ottowia	73	25	19	46	62	60	13	14	64	38	3	17	29	4	9	27	12
Phytohabitans	25	47	22	23	29	41	17	17	27	83	4	38	26	8	35	31	38
Methanocaldococcus	3	19	16	45	13	14	84	13	8	0	170	13	34	12	23	11	32
Sulfurovum	47	42	20	142	42	53	6	17	11	10	11	8	23	8	32	18	20
Alkalihalobacillus	26	47	70	52	56	83	4	4	2	0	15	21	48	3	24	27	27
Ornithobacterium	107	8	84	51	40	41	1	64	58	8	8	8	6	2	9	5	8
Sediminibacillus	11	20	24	26	56	58	3	1	4	3	4	30	68	30	63	80	27
Hujiaoplasma	14	30	46	10	62	44	2	4	4	2	0	6	252	6	10	10	4
Allokutzneria	22	13	23	10	2	8	2	53	78	224	0	5	8	0	2	2	53
Aquimarina	17	27	44	144	75	61	9	15	25	4	5	13	21	3	26	7	8
Tsukamurella	40	41	10	26	15	24	44	25	43	97	13	34	27	0	19	18	28
Verrucomicrobium	40	81	28	7	17	16	14	68	47	92	4	9	28	0	11	20	21
Aquibium	26	25	14	43	37	35	5	31	63	91	0	34	6	20	49	7	16
Thiomicrorhabdus	31	47	69	42	16	23	17	7	29	30	16	19	41	0	38	26	51
Rhodoluna	7	36	42	37	21	68	1	6	2	5	77	21	37	59	40	22	19
Serinicoccus	70	34	6	14	28	21	39	50	26	80	54	14	26	4	9	8	17
Megalodesulfovibrio	71	38	19	54	10	13	26	52	68	41	0	2	9	0	18	32	45
Salinimonas	7	36	15	161	15	23	10	10	19	27	15	46	40	11	11	37	14
Aquirufa	21	45	46	24	124	64	2	14	49	1	18	12	23	20	19	6	8
Draconibacterium	6	61	65	45	65	44	6	25	11	102	22	0	14	4	3	10	12
Janibacter	41	26	18	15	32	12	21	52	33	39	42	49	30	1	36	8	40
Alteromonas	30	41	24	76	32	35	5	35	22	20	9	24	9	28	31	37	36
Chlamydia	2	55	108	61	25	63	4	2	1	6	17	11	46	35	21	11	26
Ferrovibrio	130	16	11	11	12	9	42	57	41	138	2	7	4	0	1	1	12
Desulfococcus	27	32	12	206	27	11	6	30	41	32	3	7	5	2	27	1	24
Micropruina	49	26	10	2	15	12	51	19	80	77	31	26	7	4	77	1	6
Hafnia	9	83	137	24	10	21	12	4	6	39	0	24	18	0	27	11	66
Cetobacterium	13	45	54	85	91	37	4	1	0	8	65	46	28	0	6	6	1
Rhodospirillum	33	37	9	19	16	18	11	53	72	92	2	2	26	0	5	12	81
Candidatus_Cardinium	0	14	0	3	10	10	290	75	2	2	6	60	4	0	2	4	4
Candidatus_Hoaglandella	4	4	0	6	8	8	16	12	14	410	0	2	2	0	0	0	0
Paracidovorax	64	68	10	47	31	34	33	27	45	79	0	0	16	0	6	4	22
Pseudanabaena	11	49	54	24	32	35	25	23	16	10	47	17	37	26	37	6	37
Candidatus_Methylopumilus	24	50	24	28	48	18	4	8	0	0	2	102	146	0	10	4	16
Oceanimonas	68	38	10	4	7	10	37	20	99	17	10	6	13	0	22	23	100
Thalassotalea	24	54	41	41	55	75	3	13	3	5	7	15	35	2	56	16	39
Thiothrix	30	72	70	42	49	35	13	22	20	18	2	6	22	0	17	16	50
Maioricimonas	84	31	4	3	3	3	9	93	40	195	1	0	6	0	0	4	4
Rouxiella	41	46	26	47	55	36	18	33	8	73	6	9	13	7	24	14	24
Ruegeria	32	30	23	46	32	26	10	30	14	103	19	15	14	1	33	27	25
Haliovirga	5	81	42	18	57	23	109	11	1	8	21	7	47	1	39	6	2
Varibaculum	3	16	19	21	22	1	7	13	4	111	56	24	50	5	36	28	62
Phenylobacterium	25	30	23	27	20	23	21	17	77	41	5	23	30	30	11	26	48
Desulfofustis	39	58	12	43	19	28	9	36	76	43	13	17	20	0	8	25	30
Lacimicrobium	7	22	3	18	10	56	7	3	1	0	89	15	70	137	20	9	9
Breznakiella	35	50	47	16	25	32	42	21	19	57	0	1	37	1	16	4	71
Halorussus	18	15	18	213	7	11	11	19	16	25	7	9	46	3	36	6	12
Pelagibacterium	69	52	18	26	10	30	61	13	72	34	8	7	22	5	12	9	24
Jiella	21	23	23	20	11	22	11	8	28	96	8	46	13	0	24	96	21
Malaciobacter	8	62	48	82	28	14	58	24	0	6	22	16	45	6	26	6	19
Flaviflexus	18	49	20	12	21	20	20	21	128	68	8	16	16	5	12	10	24
Ammonifex	131	39	15	5	8	14	41	79	52	50	0	17	4	0	3	1	8
Salipiger	75	41	18	16	57	44	18	14	22	35	10	19	20	0	35	17	26
Clavibacter	34	40	9	18	26	33	16	20	40	140	1	26	9	3	12	13	24
Schleiferilactobacillus	50	55	17	8	34	44	17	24	73	69	2	2	7	1	1	2	55
Micrococcus	81	43	13	1	29	28	35	15	19	82	7	40	13	1	12	19	21
Xylanimonas	22	55	12	35	22	16	37	14	43	94	4	22	21	2	24	13	23
Caldimonas	17	68	19	34	18	31	32	26	23	37	36	4	47	0	23	8	35
Fructilactobacillus	22	66	39	33	6	19	9	26	33	42	34	27	45	31	9	6	10
Roseiflexus	87	49	14	8	20	29	48	28	62	31	20	15	19	0	6	7	14
Aquihabitans	24	20	20	16	4	32	12	10	17	54	7	45	51	1	31	92	20
Candidatus_Westeberhardia	0	4	16	0	0	16	218	166	12	10	0	0	4	0	0	0	10
Ruficoccus	22	49	5	7	8	48	6	22	97	122	0	4	24	1	4	22	15
Citricoccus	81	31	15	10	17	13	19	26	75	20	114	7	6	0	15	1	5
Marinobacterium	15	26	39	33	33	60	6	23	49	18	15	24	28	10	28	21	27
Mariprofundus	97	17	15	10	9	8	7	3	50	103	5	24	22	0	23	15	46
Kribbella	43	23	8	15	10	36	10	30	51	118	3	17	24	8	13	29	15
Miltoncostaea	54	27	15	32	35	19	45	29	42	38	20	35	7	3	15	17	20
Austwickia	25	30	10	13	10	26	9	2	4	13	63	20	60	136	21	9	1
Cellulophaga	11	27	14	215	48	22	1	6	7	21	3	7	15	15	16	4	20
Chitiniphilus	70	25	10	19	9	0	6	35	86	85	0	5	2	0	1	0	98
Mesoplasma	5	27	44	48	61	15	1	0	0	3	8	65	92	14	27	14	27
Candidatus_Hamiltonella	214	10	14	2	4	18	26	22	18	30	16	0	16	6	44	6	4
Paenarthrobacter	85	17	6	3	19	10	20	78	33	81	40	21	12	0	10	6	9
Psychrobacillus	18	55	63	14	37	17	5	13	3	9	7	6	38	12	39	23	89
Tunicatimonas	1	16	8	342	39	10	1	2	6	1	0	11	1	0	4	4	2
Pelobacter	11	20	11	24	11	21	29	19	30	47	11	34	70	2	12	83	12
Serpentinicella	10	80	64	23	32	54	13	17	0	2	12	12	63	4	32	11	16
Candidatus_Methanomethylophilus	22	32	6	6	2	34	56	30	26	140	2	14	0	0	8	0	66
Desulforapulum	47	23	43	27	29	53	5	35	17	123	0	8	12	0	6	6	10
Ureaplasma	12	26	27	14	57	39	0	0	1	1	0	35	204	1	24	1	1
Brucepastera	20	34	19	29	47	46	3	15	4	56	3	12	24	5	40	58	27
Cellvibrio	21	15	24	35	22	21	16	13	68	2	15	3	18	2	8	20	139
Thermanaerovibrio	76	20	11	5	5	14	70	78	61	36	0	0	45	0	7	2	12
Miniphocaeibacter	18	55	22	28	26	16	29	15	24	4	20	7	27	52	26	25	47
Dysgonomonas	0	79	50	136	47	20	5	6	4	5	5	24	8	6	8	2	35
Wohlfahrtiimonas	401	0	0	0	0	1	1	0	0	2	0	3	15	0	3	13	0
Schnuerera	9	52	27	25	64	40	76	28	0	11	14	2	32	3	43	5	7
Tepidanaerobacter	98	24	13	6	11	13	28	71	66	29	6	2	15	3	35	12	6
Marivirga	5	22	27	61	49	22	7	4	1	3	27	49	39	8	23	38	51
Sphaerobacter	94	23	4	7	3	8	50	20	88	90	1	2	24	0	8	3	11
Aquitalea	57	23	14	149	17	36	9	8	6	70	4	6	13	4	3	4	12
Microcella	42	32	32	1	8	31	18	15	17	130	20	22	13	0	6	31	17
Zobellia	33	20	32	58	64	117	1	10	26	0	9	23	16	0	1	5	20
Methanosarcina	37	38	35	38	26	42	19	15	10	20	3	27	28	0	48	33	15
Pleomorphomonas	34	28	7	19	1	12	45	51	51	145	2	0	16	0	7	3	13
Microvirgula	3	6	27	12	11	18	6	2	7	12	21	53	72	0	24	147	12
Candidatus_Babela	2	16	12	28	10	28	4	2	2	0	80	28	52	124	32	12	0
Allochromatium	13	31	23	7	34	49	14	10	61	55	16	9	39	2	21	16	31
Aeoliella	3	60	75	118	22	23	6	9	4	48	1	1	18	7	10	23	2
Cruoricaptor	12	10	26	15	37	69	0	1	41	1	20	44	49	0	9	76	17
Syntrophobacter	29	28	23	25	10	23	18	28	34	45	57	28	31	0	14	28	6
Pigmentiphaga	14	160	4	52	21	12	6	33	44	22	2	9	14	1	6	10	16
Chitinibacter	21	13	3	22	54	32	2	9	5	10	0	32	34	13	76	66	32
Entomomonas	1	51	13	15	2	31	0	0	2	2	57	27	47	80	24	19	53
Paraconexibacter	140	16	11	7	5	14	24	42	104	34	2	6	7	4	4	2	2
Fimbriimonas	59	2	2	3	4	28	16	79	17	178	1	0	7	0	13	5	9
Sphingorhabdus	35	23	16	10	28	18	44	10	20	47	5	16	33	29	27	38	24
Roseibium	40	27	42	16	16	42	9	8	54	31	6	36	36	0	34	5	20
Jatrophihabitans	34	14	9	4	13	14	45	70	32	40	39	13	28	0	3	58	5
Methylocella	10	28	34	31	13	16	3	46	64	19	33	32	62	0	14	2	13
Pirellulimonas	20	12	19	42	5	19	15	37	9	7	15	45	79	0	14	67	15
Ferribacterium	34	39	27	48	25	30	42	17	40	53	32	0	6	1	7	2	16
Parasphaerochaeta	33	40	30	113	4	32	21	9	22	42	0	21	23	0	10	8	11
Nitrosospira	23	34	22	25	23	37	11	12	31	25	5	34	40	46	7	23	20
Mitsuaria	13	38	8	40	13	48	3	16	20	47	2	51	18	0	32	51	17
Candidatus_Tachikawaea	6	34	0	4	14	24	8	0	2	0	0	54	16	0	22	230	2
Idiomarina	19	64	34	2	18	68	4	21	67	1	16	24	23	6	8	25	15
Thermanaerosceptrum	32	33	33	4	45	80	2	31	15	22	7	5	24	12	8	17	43
Pseudohongiella	28	15	63	52	73	82	6	6	12	18	1	27	6	0	15	0	6
Acholeplasma	12	74	28	17	26	22	0	17	0	3	10	7	103	0	26	8	56
Stella	35	28	3	36	5	11	49	33	42	131	0	6	0	2	1	0	27
Actinotignum	76	19	10	14	14	7	20	28	16	58	49	12	51	5	7	12	10
Rhodothermus	65	46	14	15	7	32	26	60	33	38	0	10	10	0	15	9	28
Shouchella	7	26	43	6	27	14	0	30	6	31	0	11	41	95	21	24	26
Euzebya	4	52	11	19	9	33	18	34	77	122	0	7	5	5	2	5	3
Lacunisphaera	19	55	38	161	18	12	12	19	20	17	0	2	17	2	10	2	2
Penicillium	3	5	0	4	7	14	1	2	3	0	92	22	21	220	7	2	3
Hypericibacter	64	57	14	6	4	15	41	38	23	111	0	3	10	0	2	2	15
Desulfotomaculum	16	40	33	13	31	43	10	30	35	19	0	43	23	4	9	4	51
Isoptericola	45	11	4	10	8	10	27	8	42	43	101	23	14	3	10	25	20
Paucilactobacillus	41	35	35	23	37	28	4	14	18	0	7	17	69	20	14	6	36
Aurantiacibacter	43	22	46	4	8	29	18	22	15	123	8	13	17	0	7	4	24
Natrinema	43	25	11	8	10	9	36	14	21	88	87	13	12	0	10	6	10
Alteracholeplasma	7	22	19	13	36	18	2	4	1	0	6	42	188	0	34	0	10
Laribacter	51	36	26	34	22	20	40	45	52	32	1	9	12	1	9	9	3
Collimonas	16	26	19	25	27	42	33	16	58	49	9	20	20	3	7	4	26
Zunongwangia	2	45	43	87	53	18	0	8	18	3	3	3	15	40	11	8	43
Acetoanaerobium	2	67	90	13	34	61	1	1	9	9	2	6	18	2	38	26	20
Tardibacter	89	6	2	2	0	4	30	62	47	144	2	2	5	0	0	4	0
Protaetiibacter	10	22	14	15	3	15	18	37	15	40	28	39	35	3	16	69	19
Halomicronema	36	31	3	5	4	18	7	73	13	87	1	26	2	0	11	4	76
Zymomonas	2	13	1	189	38	35	5	5	4	39	0	2	4	43	0	9	8
Catenulispora	19	9	11	36	14	17	56	35	14	106	7	15	16	7	12	11	11
Mameliella	42	23	2	3	12	15	8	39	73	131	0	1	2	0	1	0	44
Apilactobacillus	23	23	30	10	24	9	28	28	3	3	56	25	101	1	8	12	11
Gottfriedia	0	97	33	5	11	45	44	8	3	6	2	17	22	23	10	2	67
Fibrella	47	41	16	28	50	22	9	31	44	26	13	6	19	0	4	0	38
Granulibacter	37	31	10	19	17	25	14	18	63	78	0	2	18	2	9	10	41
Tsuneonella	29	26	9	31	11	24	19	76	34	68	1	8	21	12	4	7	14
Caloranaerobacter	11	82	58	33	12	39	61	16	5	0	4	7	19	2	23	11	10
Streptacidiphilus	76	23	8	11	16	6	35	45	38	82	2	12	6	0	17	15	1
Thalassospira	26	57	28	9	28	26	10	29	53	29	8	23	31	2	7	9	18
Oligella	0	18	6	5	7	20	294	0	7	17	0	1	5	1	5	0	5
Chondromyces	43	9	8	10	3	20	24	67	37	133	0	15	10	5	1	1	4
Haploplasma	7	41	20	10	49	31	11	9	1	4	18	1	34	85	55	6	7
Kingella	41	37	9	31	17	21	8	31	39	20	32	8	4	51	10	5	25
Pelistega	0	14	11	22	4	29	0	0	1	0	77	18	48	134	17	14	0
Pyricularia	11	28	48	85	33	34	11	16	8	10	8	8	24	7	16	23	19
Chelativorans	4	22	20	10	5	30	17	8	34	27	0	36	7	0	15	130	23
Kiritimatiella	94	24	5	4	9	7	39	17	86	40	0	10	15	0	6	9	22
Thiobacillus	21	38	8	20	19	31	6	6	38	36	3	21	9	0	14	5	112
Celerinatantimonas	0	6	1	6	6	11	329	1	10	2	0	1	9	0	2	0	1
Desulfonema	2	54	63	27	19	39	9	14	3	5	13	22	47	33	9	0	26
Humisphaera	51	22	25	19	8	28	23	29	65	19	7	15	16	2	11	21	24
Psilocybe	7	18	9	37	11	23	0	3	7	4	29	13	42	153	17	11	1
Gemmatirosa	24	40	8	14	10	8	31	14	120	18	7	10	41	0	13	11	14
Pelolinea	20	40	7	22	21	25	10	29	96	15	6	9	8	5	12	40	18
Candidatus_Kinetoplastibacterium	6	109	22	2	42	18	2	8	0	0	17	20	52	0	47	32	3
Candidatus_Nitrotoga	44	55	13	11	11	29	12	68	54	41	2	9	8	2	3	0	18
Halioglobus	27	27	1	5	11	16	10	15	98	14	15	8	8	8	10	9	98
Dehalobacter	55	29	12	27	25	45	6	9	13	8	4	11	27	8	21	64	15
Aequorivita	6	14	22	45	6	9	70	47	2	4	1	1	40	0	9	76	26
Methylacidimicrobium	155	18	6	8	9	13	16	49	22	52	0	0	1	0	14	0	14
Streptobacillus	17	19	38	1	39	9	0	1	0	0	98	1	117	1	31	3	2
Candidatus_Azobacteroides	12	38	6	72	22	26	8	18	90	42	6	8	4	0	2	18	4
Thermoleophilum	36	13	12	6	5	9	25	28	21	138	0	14	20	0	7	11	31
Akanthomyces	11	9	13	21	19	17	4	3	3	10	42	27	38	25	8	120	5
Panacibacter	26	23	44	26	18	51	1	4	16	0	37	2	8	17	14	5	83
Koleobacter	23	14	19	13	33	30	1	18	16	9	8	25	40	25	44	44	12
Loigolactobacillus	11	48	45	20	16	25	8	44	23	6	4	11	50	7	4	14	38
Pusillimonas	20	20	34	19	26	32	8	27	68	30	2	38	25	0	13	3	9
Sneathia	5	29	25	175	22	13	12	5	3	39	9	2	4	1	7	15	8
Aureispira	10	78	14	4	76	29	1	6	13	1	1	12	117	0	7	0	4
Gimibacter	137	23	7	15	4	5	8	50	11	75	1	10	4	1	10	4	7
Chloroflexus	32	45	12	15	8	17	10	47	15	52	11	16	30	0	7	42	12
Olivibacter	4	41	14	53	73	52	8	8	37	5	1	2	16	22	16	14	5
Zhaonella	28	34	34	23	48	21	5	10	9	20	0	26	16	0	24	2	71
Guyparkeria	42	39	13	6	7	23	11	48	34	77	20	3	5	1	5	16	20
Paenisporosarcina	21	22	65	13	24	72	1	11	2	1	10	14	40	3	19	21	30
Roseitalea	4	6	4	4	16	4	11	97	7	178	0	6	11	0	2	4	14
Acuticoccus	15	49	11	38	23	27	10	26	17	56	6	26	17	2	10	8	26
Limnochorda	27	32	10	16	12	17	53	34	54	17	3	11	15	0	4	28	34
Mannheimia	20	45	43	18	7	40	6	11	18	11	10	45	33	17	22	11	10
Xanthobacter	58	29	11	9	5	10	20	69	46	75	0	3	11	2	4	8	7
Elioraea	8	36	9	5	6	16	5	42	111	73	0	15	26	0	4	2	8
Gleimia	44	20	7	31	20	9	13	20	12	21	48	25	12	6	15	34	29
Halapricum	36	15	2	0	31	28	2	75	36	117	0	0	1	0	7	0	15
Liberibacter	55	18	3	2	7	41	9	81	12	117	4	1	2	5	2	2	4
Desulfoluna	33	32	26	36	15	16	15	23	34	22	19	11	22	15	19	12	14
Pseudooceanicola	40	36	4	13	22	32	38	20	6	64	6	18	28	8	9	9	11
Salinibacter	56	18	5	32	10	21	16	46	53	73	10	5	7	3	2	0	7
Novibacillus	74	22	4	7	2	26	19	22	22	122	0	8	18	0	4	2	11
Salinicola	70	27	22	12	30	6	11	6	34	18	9	13	14	0	23	24	44
Allorhizobium	12	34	23	1	0	3	8	42	21	131	7	8	37	0	16	15	4
Mariniflexile	27	49	20	115	18	18	28	2	4	4	1	27	38	0	10	1	0
Caulifigura	115	22	13	8	4	3	51	54	43	16	0	2	6	5	11	2	6
Thiohalobacter	84	50	5	10	12	6	12	4	117	28	0	1	2	0	2	4	24
Blastochloris	38	37	15	7	4	6	21	20	36	25	4	16	26	0	7	25	73
Lutibacter	8	15	25	81	33	25	2	3	18	3	23	69	15	3	10	18	9
Symbiopectobacterium	28	8	27	5	4	4	77	42	61	81	1	4	3	1	8	6	0
Thermosediminibacter	59	41	8	1	17	27	15	44	25	41	0	30	17	1	7	0	27
