ID	Domain	Phylum	Class	Order	Family	Genus	Species	score	completeness	contamination	strain_heterogeneity	size	N50	cluster_members	FC1	FC2	FC3	FE1	FE2	FE3	FY1	FY2	FY3	MC1	MC2	MC3	ME1	ME2	ME3	MY1	MY2	MY3
Mx_All_51	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lacticaseibacillus	s__Lacticaseibacillus paracasei	99.0910954954295	99.46	0.54	0.0	3017068	45940	1	2.3177595	0	0.32242787	0	1.9913002	0	0	0	0	0	0	0	0	0	0	0	0	0
Mx_All_52	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Eggerthella	s__Eggerthella lenta	82.61257377167108	91.13	2.42	66.67	3089136	8676	1	1.8369925	0.19377077	0.42599458	0	0.14774983	0.33267203	0	0.1588805	0	0	0.20303251	0	0	0.34060714	0	0.49597108	0.1273523	0.3770238
Mx_All_53	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Scatavimonas	s__Scatavimonas merdipullorum	74.96527250510331	84.06	2.17	0.0	2736243	3240	1	0	0	2.1553652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mx_All_54	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides distasonis	87.03854730134528	93.51	1.82	37.5	3874363	7800	1	0	0.7049252	0.31781092	0.110087425	0.16472533	0	0.32077765	0	0.3960393	0	4.232352	0.100652516	0	0	0.07039894	0	0.2171585	0
Mx_All_55	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes putredinis	95.47853536359756	96.23	0.67	66.67	2078318	20123	1	0	1.564473	1.2202814	0.44767168	0.15435043	1.4546926	1.5010917	0	1.8065315	2.5130143	1.3780662	0	0.60068786	0	0	0	2.4838974	1.1239666
Mx_All_56	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium pseudocatenulatum	73.20470197678726	87.96	3.82	57.89	1828621	18476	1	0	0	28.27143	0	2.5169594	0.7065787	0.20047174	2.7928655	0.71450156	0	0	0	0	2.7842789	0	13.709983	3.240258	0
Mx_All_57	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides ovatus	53.805047297193354	62.24	2.59	100.0	4465828	7081	1	0	0.16162077	0.09824614	0.34799802	0.20917496	2.0436997	0.4891364	0.22891356	0	0.28961974	0.21885626	0	0	0.27979147	0	1.354877	0.3516637	0.8974024
Mx_All_58	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides merdae	86.3587724004392	94.8	2.56	90.0	3703834	12869	1	0	3.8949182	0.25361162	0.22158545	0.1902861	0	0.22169912	0.599452	0	0.8564516	0.52449214	0	0.26546732	1.2098614	0.22438993	0	0.26553172	0.48803028
Mx_All_59	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes onderdonkii	68.197817094553	85.48	4.49	72.73	2616291	6375	1	1.6848904	0.6149818	2.7307072	0.44635937	0	0.9388674	0.28752908	0.19701213	1.4869696	0.4993664	0.11320065	0.88023496	0	0	0	0	0.26808846	0.23383634
Mx_All_6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea_A	s__Dorea_A longicatena_B	55.82439314987725	60.27	1.51	85.71	1068492	4172	1	0	0.7752808	0	0.28336746	0.26422366	0.052139286	0.27985063	0	0.56840664	0	1.6651458	0.13705781	0.16526997	0.48270726	0.12405642	0	0.9560457	0.3585193
Mx_All_60	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira sp000437735	75.14360297187395	82.74	2.13	60.0	2285782	3558	1	0	0	0	0.04866785	0	0	0.11999146	0	0	0	0	0	0.24061832	0.7415293	0.09387651	0	1.0399394	0
Mx_All_61	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__Alloprevotella sp900539625	48.06515376156597	52.14	1.18	0.0	1583700	4470	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2456636	0	0	0
Mx_All_62	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_Q	s__Clostridium_Q fessum	59.576551891582	58.09	0.06	0.0	1488142	3742	1	0	0.42593634	0	0.10434109	0.2956733	0	0	0.14476058	0	0	0.19578585	0	0.19094251	0.5003067	0.34714553	0	0.14014496	0.36605301
Mx_All_63	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster sp000431375	46.247983985373956	59.67	3.54	71.43	2075296	3153	1	0	1.0023391	0	0	0.3116625	0	0.19705175	0.48107767	0	0	0.15311237	0	0	0	0.104432456	0	0.09186426	0.41264293
Mx_All_64	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C sp000433635	59.68365603149028	58.67	0.16	50.0	1041190	2933	1	0	0	0	0	0	1.635388	0	0	0	0	0	0	0.77788126	0	0	0	0	0
Mx_All_65	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__Vescimonas sp003539495	57.0447803540281	65.13	2.24	57.14	1298852	4674	1	0	0	0	0.41514865	0	0	0	0	0	0	0	4.1858273	0.47149214	0	0	0	0	0
Mx_All_66	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium longum	74.57486580924135	94.86	4.88	40.74	2070629	17927	1	0	0	2.015537	0	4.6087055	0	1.1049403	3.564386	0.35352978	0	0	0	0	1.4535338	0.11182142	2.7380927	1.4617168	0.7832493
Mx_All_67	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger formicilis	74.98661714266741	93.63	4.91	81.25	2754656	6831	1	0	0.16060303	0	0.2223646	2.1382296	0.26182863	1.005352	1.8794138	0	0	0.2900531	0.30975956	0.40035242	0.97643083	0.74074274	0	4.2404833	0.79889286
Mx_All_68	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium longum	60.98812971855219	82.74	5.44	66.67	1926849	4391	1	0	0	0.2260381	3.0653489	2.5923223	3.3142154	2.7374516	1.0309621	1.4552985	0	1.6187037	0	1.4170879	1.3843241	3.7321212	5.469415	4.4108834	3.57483
Mx_All_69	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes shahii	72.5546557870662	79.66	1.92	33.33	1996314	5122	1	0	0.2615565	0.47830057	0.39529368	0.13487712	0	0.33596206	0.025932418	0	0.6966148	0.35140532	0.32993633	0.6606966	0.30855516	0.45853913	0	0.13797659	0
Mx_All_7	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides stercoris	84.55121257506181	96.66	3.33	71.43	3196790	21144	1	0.27245894	0	0.21024132	1.2064892	2.7990253	0	1.5707052	1.8391606	0	0.688345	0	0	0.6596568	4.5888844	0.09868842	0	3.0135632	0
Mx_All_70	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	49.755751631012885	63.12	3.67	87.5	3402525	3540	1	0	0	0	0	0	0.32670486	0	0	0.404613	0	0	0.33679584	0	0	0	1.585506	0	0.364785
