KO	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
K13292	254.281	24.8611	24.493009999999998	1058.6734	80.9591	207.6	186.7525	30.1425	611.8377	559.86875	19.2383	239.63669999999996
K13310	0.0	0.0	0.0	0.0	0.0	224.641	0.0	0.0	0.0	0.0	0.0	0.0
K13378	0.0	0.0	0.0	294.81489999999997	0.0	0.0	74.5666	0.0	197.5589	112.57239999999999	24.6788	24.7689
K13408	0.0	0.0	0.0	19.7536	0.0	0.0	0.0	0.0	0.0	130.17700000000002	0.0	0.0
K13409	0.0	0.0	0.0	98.1785	0.0	0.0	0.0	0.0	0.0	80.8651	0.0	0.0
K13421	204.399	0.0	34.61393	27.3511	23.7418	293.313	0.0	0.0	0.0	0.0	13.4245	200.88400000000001
K13497	0.0	21.4262	110.62729999999999	435.1057	0.0	234.65	0.0	0.0	578.8397	246.5025	127.9893	0.0
K13498	0.0	50.211999999999996	59.411199999999994	654.5235	0.0	663.9290000000001	321.856	232.6256	1056.2435	1241.8112	712.8462999999999	1705.574
K13500	0.0	0.0	0.0	849.0923	0.0	0.0	8.19661	0.0	30.3802	34.5345	0.0	0.0
K13503	64.6234	18.1977	36.267160000000004	197.10656	116.07700000000001	305.9229	19.6876	44.8996	690.6298999999999	269.5009	186.8116	66.03699999999999
K13529	0.0	0.0	22.7153	105.23	0.0	594.9942	29.8186	0.0	131.119	0.0	0.0	203.174
K13541	532.943	8.82947	41.19512	225.0558	248.4511	331.44019999999995	0.0	17.4336	38.668800000000005	76.42830000000001	92.5895	219.08700000000002
K13542	220.24599999999998	0.0	78.94776999999999	738.3126	555.7021	400.54053	30.3557	21.3109	464.78880000000004	318.37044	1258.3245	187.9744
K13543	0.0	36.06969	28.773870000000002	105.9366	0.0	176.53623	0.0	16.3879	117.94569999999999	490.19424	231.29289999999997	190.46699999999998
K13571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.8108	58.6329	70.1083	0.0
K13573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.7804	0.0	232.38	0.0
K13582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.291	0.0	400.55
K13583	0.0	769.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13589	0.0	26.807	0.0	0.0	0.0	561.5039999999999	0.0	32.9261	0.0	0.0	0.0	0.0
K13590	0.0	111.315	16.9621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13599	349.0421	0.0	15.3703	36.2794	663.553	169.24200000000002	29.4565	24.8379	0.0	0.0	61.4986	0.0
K13614	0.0	33.92767	18.29259	0.0	0.0	1009.804	19.7168	0.0	0.0	0.0	0.0	0.0
K13628	0.0	0.0	0.0	62.7466	570.439	0.0	0.0	0.0	0.0	181.55200000000002	441.67199999999997	197.315
K13634	0.0	0.0	0.0	25.1938	0.0	0.0	0.0	0.0	293.384	778.094	0.0	0.0
K13640	0.0	0.0	0.0	114.89299999999999	0.0	0.0	0.0	0.0	132.859	202.002	242.688	0.0
K13643	0.0	0.0	54.3341	150.469	0.0	461.708	0.0	0.0	139.3712	376.224	154.92	0.0
K13653	508.592	0.0	0.0	101.343	121.809	35.5626	78.9734	0.0	29.7652	44.9138	342.227	203.174
K13661	0.0	243.02100000000002	15.3703	22.1536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	356.775	0.0	338.95300000000003	0.0
K13671	0.0	0.0	0.0	41.981	0.0	0.0	0.0	0.0	92.56200000000001	34.8941	1234.933	0.0
K13678	0.0	0.0	0.0	41.188	0.0	0.0	46.0794	38.1246	0.0	34.2063	40.9956	0.0
K13694	0.0	0.0	40.140699999999995	410.80640000000005	0.0	64.3618	0.0	0.0	116.531	1389.6185000000003	262.5891	0.0
K13695	0.0	0.0	40.140699999999995	31.3733	0.0	64.3618	0.0	0.0	19.4268	66.5502	233.3392	0.0
K13713	152.376	14.575	57.83	64.5065	127.25299999999999	401.831	0.0	215.2072	17.1311	0.0	170.99099999999999	86.9209
K13730	326.5263	16.2616	0.0	20.5653	123.78200000000001	190.59799999999998	351.0891	30.1425	139.7	82.56	66.9641	338.4936
K13732	0.0	0.0	0.0	130.855	45.4363	0.0	0.0	0.0	0.0	86.3087	0.0	0.0
K13733	0.0	0.0	0.0	130.855	45.4363	0.0	0.0	0.0	0.0	86.3087	0.0	0.0
K13735	0.0	0.0	25.6867	181.503	0.0	0.0	0.0	0.0	0.0	151.357	0.0	0.0
K13747	74.9139	0.0	0.0	0.0	0.0	0.0	248.516	0.0	0.0	0.0	0.0	0.0
K13771	0.0	0.0	0.0	103.212	0.0	0.0	0.0	0.0	140.14700000000002	191.7714	178.08190000000002	0.0
K13772	0.0	0.0	0.0	103.212	0.0	0.0	0.0	0.0	0.0	86.3374	51.7699	0.0
K13787	0.0	0.0	0.0	19.188	0.0	229.237	0.0	0.0	20.9215	0.0	0.0	56.0891
K13788	255.5468	21.7028	86.5002	772.8054	671.8451000000001	576.8809	478.3955000000001	0.0	691.2375	389.4327	397.5054	646.8240000000001
K13789	195.579	0.0	14.0477	79.3326	81.4568	229.237	40.8342	0.0	73.31200000000001	106.8014	103.4871	694.1294000000001
K13797	1507.6348000000003	401.79489	294.47364999999996	3302.72618	2168.52301	1281.30327	526.4957499999999	443.0833	1112.4267700000003	3175.0421799999995	2995.3789500000007	3849.8276999999994
K13799	369.033	25.9972	54.5045	621.1080000000001	177.055	0.0	0.0	171.544	74.5304	496.40690000000006	168.17700000000002	314.502
K13818	115.615	282.855	121.1778	260.70570000000004	0.0	267.236	77.7714	0.0	16.2337	304.647	238.03	0.0
K13819	0.0	0.0	0.0	0.0	0.0	0.0	233.75799999999998	0.0	0.0	402.06699999999995	0.0	0.0
K13820	78.0177	0.0	0.0	0.0	0.0	376.664	80.8419	0.0	0.0	0.0	0.0	0.0
K13821	58.68971	0.0	18.46966	472.8875	0.0	0.0	0.0	0.0	930.0716	208.5281	548.25504	0.0
K13829	418.39599999999996	277.797	46.7048	847.6145	627.7112999999999	892.4536	12.8701	279.6478	661.2216999999999	530.4453	740.8643999999999	232.4601
K13832	0.0	0.0	0.0	198.74900000000002	0.0	0.0	207.734	0.0	471.541	180.02900000000002	0.0	0.0
K13877	0.0	81.7833	0.0	51.1839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K13888	0.0	0.0	0.0	406.7939	58.0031	154.0774	0.0	0.0	320.3424	235.81060000000002	453.0391	0.0
K13892	88.1663	0.0	10.7852	52.9911	0.0	0.0	20.3955	0.0	0.0	43.6459	0.0	51.7188
K13893	0.0	0.0	27.237769999999998	153.7796	0.0	0.0	0.0	0.0	183.24869999999999	90.1933	20.5097	0.0
K13894	0.0	0.0	19.4629	1221.1543000000001	0.0	0.0	89.7713	145.635	337.5539	632.6388999999999	816.9476	138.194
K13895	0.0	0.0	28.46249	320.4623	0.0	0.0	10.7169	0.0	39.8726	80.9534	17.9648	0.0
K13896	0.0	12.4293	10.0315	322.86539999999997	0.0	20.6769	17.9272	7.30995	125.2623	195.2245	158.7432	0.0
K13919	121.249	0.0	7.145989999999999	22.9524	139.8573	0.0	0.0	75.1378	12.4942	0.0	56.2958	0.0
