Genus	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
g__Catenibacterium	0	0.04966	0.22381	0	0	0.62039	0	0	0	0.02294	0	0	0	0.70064	0	0	0.02903	0
g__GGB9595	0	0.03622	0.86095	0	0	0	0.65754	0	0	0	0	0	0	0.01598	0	0	0	0
g__Intestinimonas	0	0.03654	0.06028	0.00156	0	0	0	0	1.3417	0.08856	0.00096	0	0	0	0	0	0	0
g__Sanguibacter	0	0	0	0	0	0	0	0.1674	0.07384	0.01317	0	0	0	1.26466	0	0	0	0
g__Lactobacillus	0	0	0	0	0	0	0	0.09983	0.27611	0	0	0.01151	0	0	1.12457	0	0	0
g__GGB9642	0	0.12278	0	0	0	0.06474	0.23963	0.27797	0.09583	0	0	0	0.20985	0	0	0	0.32235	0
g__GGB9770	0	0.02984	0.00769	0	0	0	0	0.74973	0.03915	0.05664	0.15383	0	0	0	0	0	0	0.27714
g__GGB9627	0	0	0.18	0	0	0	0.2156	0	0.00593	0.87846	0	0	0.00744	0	0	0	0	0
g__Limosilactobacillus	0	0.06552	0	0	0	0	0	0.04039	0.9229	0	0.13537	0.01145	0	0	0.05351	0.01069	0	0
g__Aeromonas	0	0	0	0	0	0	0	0	0	0	1.22712	0	0	0	0	0	0	0
g__GGB9602	0.54753	0.3404	0.0406	0	0	0	0	0.26757	0	0	0.01862	0	0	0	0	0	0	0
g__GGB4700	0	0	1.20004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Weissella	0.00102	0	0.10169	0.60173	0	0.04278	0	0	0	0	0	0	0.16743	0.25911	0	0.00714	0	0
g__Erysipelatoclostridium	0.00021	0	0.08784	0	0	0	0.1546	0	0	0	0.00135	0.00921	0	0.01113	0.87041	0	0	0.00385
g__Actinomyces	0.03182	0	0.00487	0.01263	0	0.07554	0.00686	0.01178	0	0	0.08703	0.33094	0.14965	0.11617	0.03213	0.19411	0.07968	0
g__GGB3588	0	0	0	0	0.10783	0	0.20951	0	0	0	0	0	0	0.75905	0	0	0	0
g__GGB9424	0	0	0.21623	0.08193	0	0.00243	0	0.37406	0.00443	0	0.06276	0	0	0.09206	0	0	0.22479	0
g__Staphylococcus	0.00096	0	0.63726	0	0	0	0.3059	0	0	0	0	0	0	0.11382	0	0	0	0
g__GGB9512	0	0.19082	0.5166	0	0	0.12547	0.12321	0.03296	0	0	0	0	0	0.00525	0	0.04771	0	0
g__GGB9285	0	0	1.03243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Veillonella	0	0.00099	0	0.00933	0.00581	0	0.01959	0	0.87129	0	0	0.00163	0.09192	0	0	0	0	0
g__GGB3278	0	0	0	0.4876	0	0.00916	0.00766	0	0.40078	0	0.07002	0	0	0	0	0	0	0
g__GGB3429	0	0	0.34026	0	0.02841	0	0	0	0	0	0	0.37957	0	0.2202	0	0	0	0
g__GGB9636	0	0.04401	0.72215	0.11921	0	0	0	0.07259	0	0	0	0	0	0	0	0	0	0
g__GGB3321	0	0	0.06467	0.05319	0	0	0	0	0	0	0.82046	0	0	0	0	0	0	0
g__Slackia	0	0.06913	0.12568	0.0088	0.06888	6e-04	0.1041	0.02707	0	0	0.14342	0	0	0.03937	0	0.28439	0.00546	0.00078
g__Gallibacter	0.83257	0	0	0.01707	0	0.02312	0	0	0.0044	0	0	0	0	0	0	0	0	0
g__GGB1096	0	0.14198	0.0979	0	0	0	0	0.04277	0.44178	0.12677	0	0	0	0	0	0	0	0.00202
g__GGB9359	0	0	0	0.23054	0	0	0	0	0.02764	0	0	0	0	0	0	0	0.59038	0.0017
g__Leuconostoc	0	0	0.01848	0.28076	0.12794	0	0	0	0	0	0	0	0	0.22477	0	0.16585	0	0
g__Lawsonibacter	0	0.00141	0	0.12984	0	0.0675	0	0.12747	0.15571	0.06812	0.17207	0	0	0	0	0	0	0.04998
g__Raoultella	0	0	0	0.70965	0	0	0.05563	0	0	0	0	0	0	0	0	0	0	0
g__GGB2998	0	0.06685	0.25658	0.0287	0	0	0.00558	0.00289	0.05258	0.13848	0.17495	0	0	0	0	0	0	0
g__Senegalimassilia	0.05691	0	0	0.17214	0	0.28962	0	0.05576	0	0	0.08794	0	0.05993	0	0	0	0	0
g__GGB3623	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71735	0	0	0	0
g__Megasphaera	0	0	0	0.06415	0	0	0	0	0	0.24232	0	0	0	0	0	0.1166	0	0.26601
g__GGB4578	0	0	0	0.63485	0	0.00362	0.0065	0	0	0.00987	0	0	0.03169	0	0	0	0	0
g__GGB9534	0	0	0	0	0	0	0	0	0.27666	0.30015	0.07155	0	0	0	0	0	0	0.03501
g__GGB9694	0	0.23992	0	0	0	0	0	0.12257	0.31523	0	0.00132	0	0	0	0	0	0	0
g__GGB33928	0	0.12228	0.09254	0	0	0	0	0.10171	0	0.34221	0.01188	0	0	6e-04	0	0	0	0
g__GGB3612	0	0	0	0	0	0	0.41872	0	0	0	0	0	0	0	0	0	0	0.2474
g__Eisenbergiella	0.20131	0.12919	0.30688	0	0	0.00722	0	0	0	0	0	0	0	0	0	0	0	0.0066
g__GGB9774	0	0	0	0	0	0	0	0	0	0.65007	0	0	0	0	0	0	0	0
g__GGB9721	0	0	0	0	0	0	0	0	0	0	0.64143	0	0	0	0	0	0	0
g__Faecalimonas	0	0.08448	0	0.05462	0	0.02868	0	0	0	0	0	0.47327	0	0	0	0	0	0
g__GGB6569	0	0	0	0	0	0.64013	0	0	0	0	0	0	0	0	0	0	0	0
